Timestamp,HT1,HT2,HT3,HT4,HT5,HT6,HT7,HT8,HT9,HT10
2020-10-31 00:30:35.956336,"{'tag': 'mikepence', 'totalPosts': '1766'}","{'tag': 'joebiden', 'totalPosts': '81718'}","{'tag': 'pandemic', 'totalPosts': '11131'}","{'tag': 'whitehouse', 'totalPosts': '28133'}","{'tag': 'bigtech', 'totalPosts': '15436'}","{'tag': 'canada', 'totalPosts': '12853'}","{'tag': 'bgy', 'totalPosts': '1346'}","{'tag': 'texas', 'totalPosts': '13265'}","{'tag': 'police', 'totalPosts': '31330'}","{'tag': 'hunterbiden', 'totalPosts': '21496'}"
2020-10-31 01:00:37.279222,"{'tag': '5g', 'totalPosts': '2572'}","{'tag': 'nypost', 'totalPosts': '777'}","{'tag': 'mailinballots', 'totalPosts': '2302'}","{'tag': 'pandemic', 'totalPosts': '11134'}","{'tag': 'newfederalstateofchina', 'totalPosts': '1144'}","{'tag': 'china', 'totalPosts': '32891'}","{'tag': 'northcarolina', 'totalPosts': '3960'}","{'tag': 'trumpsupporters', 'totalPosts': '9783'}","{'tag': 'jeffreyepstein', 'totalPosts': '12303'}","{'tag': 'debates2020', 'totalPosts': '6181'}"
2020-10-31 01:30:38.208999,"{'tag': 'newfederalstateofchina', 'totalPosts': '1149'}","{'tag': 'tonybobulinski', 'totalPosts': '1042'}","{'tag': 'amazon', 'totalPosts': '3826'}","{'tag': 'washington', 'totalPosts': '2391'}","{'tag': 'hunterbiden', 'totalPosts': '21564'}","{'tag': 'humantrafficking', 'totalPosts': '15133'}","{'tag': 'economic', 'totalPosts': '329'}","{'tag': 'elections', 'totalPosts': '1869'}","{'tag': 'gaetztakes', 'totalPosts': '24'}","{'tag': 'climatechange', 'totalPosts': '5131'}"
2020-10-31 02:00:39.126418,"{'tag': 'debates2020', 'totalPosts': '6205'}","{'tag': 'whitehouse', 'totalPosts': '28149'}","{'tag': '5g', 'totalPosts': '2572'}","{'tag': 'amyconeybarrett', 'totalPosts': '7256'}","{'tag': 'facebook', 'totalPosts': '26183'}","{'tag': 'israel', 'totalPosts': '6652'}","{'tag': 'health', 'totalPosts': '7784'}","{'tag': 'jeffreyepstein', 'totalPosts': '12303'}","{'tag': 'voting', 'totalPosts': '1574'}","{'tag': 'police', 'totalPosts': '31342'}"
2020-10-31 02:30:40.190495,"{'tag': 'tonybobulinski', 'totalPosts': '1045'}","{'tag': 'georgia', 'totalPosts': '2473'}","{'tag': 'ccpvirus', 'totalPosts': '10135'}","{'tag': 'americafirst', 'totalPosts': '100951'}","{'tag': 'florida', 'totalPosts': '7760'}","{'tag': 'students', 'totalPosts': '643'}","{'tag': 'covid19', 'totalPosts': '98295'}","{'tag': 'brazil', 'totalPosts': '3490'}","{'tag': 'twitter', 'totalPosts': '48810'}","{'tag': 'greatawakening', 'totalPosts': '17927'}"
2020-10-31 03:00:41.155147,"{'tag': 'hunterbiden', 'totalPosts': '21706'}","{'tag': 'covid911', 'totalPosts': '397'}","{'tag': 'nypost', 'totalPosts': '782'}","{'tag': 'bigtech', 'totalPosts': '15453'}","{'tag': 'russia', 'totalPosts': '5196'}","{'tag': 'jackdorsey', 'totalPosts': '8507'}","{'tag': 'mikepence', 'totalPosts': '1767'}","{'tag': 'economy', 'totalPosts': '7807'}","{'tag': 'israel', 'totalPosts': '6653'}","{'tag': 'debate', 'totalPosts': '8011'}"
2020-10-31 03:30:42.111641,"{'tag': 'students', 'totalPosts': '643'}","{'tag': 'florida', 'totalPosts': '7772'}","{'tag': 'chinese', 'totalPosts': '3072'}","{'tag': 'supremecourt', 'totalPosts': '7135'}","{'tag': 'washtimesoped', 'totalPosts': '1571'}","{'tag': 'climatechange', 'totalPosts': '5131'}","{'tag': 'washington', 'totalPosts': '2391'}","{'tag': 'elections', 'totalPosts': '1870'}","{'tag': 'scotus', 'totalPosts': '14950'}","{'tag': 'americafirst', 'totalPosts': '101004'}"
2020-10-31 04:00:43.518141,"{'tag': 'covid911', 'totalPosts': '398'}","{'tag': 'debate', 'totalPosts': '8012'}","{'tag': 'election', 'totalPosts': '13765'}","{'tag': 'mailinballots', 'totalPosts': '2306'}","{'tag': 'bgy', 'totalPosts': '1403'}","{'tag': 'hunterbidenlaptop', 'totalPosts': '2090'}","{'tag': 'northcarolina', 'totalPosts': '3982'}","{'tag': 'china', 'totalPosts': '32920'}","{'tag': 'economy', 'totalPosts': '7807'}","{'tag': 'vaccine', 'totalPosts': '6262'}"
2020-10-31 04:30:44.914708,"{'tag': 'education', 'totalPosts': '8324'}","{'tag': 'adamschiff', 'totalPosts': '2260'}","{'tag': 'florida', 'totalPosts': '7795'}","{'tag': 'christian', 'totalPosts': '27137'}","{'tag': 'election', 'totalPosts': '13769'}","{'tag': 'newfederalstateofchina', 'totalPosts': '1195'}","{'tag': 'fda', 'totalPosts': '1328'}","{'tag': 'transparency2020', 'totalPosts': '2950'}","{'tag': 'texas', 'totalPosts': '13282'}","{'tag': 'debates2020', 'totalPosts': '6240'}"
2020-10-31 05:00:45.879888,"{'tag': 'irvine', 'totalPosts': '33'}","{'tag': 'economic', 'totalPosts': '329'}","{'tag': 'newyorkcity', 'totalPosts': '1595'}","{'tag': 'texas', 'totalPosts': '13282'}","{'tag': 'pennsylvania', 'totalPosts': '4225'}","{'tag': 'electionday', 'totalPosts': '549'}","{'tag': 'israel', 'totalPosts': '6667'}","{'tag': 'hunterbidenlaptop', 'totalPosts': '2100'}","{'tag': 'ccp', 'totalPosts': '16951'}","{'tag': 'lindseygraham', 'totalPosts': '970'}"
